Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
KING'S DAUGHTERS' MEDICAL CENTER,180009,KY,READM-30-COPD-HRRP,1114,,1.0816,22.8100,21.0899,260,07/01/2013,06/30/2016
KING'S DAUGHTERS' MEDICAL CENTER,180009,KY,READM-30-HF-HRRP,868,,1.0751,25.2746,23.5087,224,07/01/2013,06/30/2016
KING'S DAUGHTERS' MEDICAL CENTER,180009,KY,READM-30-HIP-KNEE-HRRP,246,,1.2182,6.5923,5.4117,20,07/01/2013,06/30/2016
KING'S DAUGHTERS' MEDICAL CENTER,180009,KY,READM-30-PN-HRRP,1071,,1.1048,20.3648,18.4330,224,07/01/2013,06/30/2016
SAINT JOSEPH HOSPITAL,180010,KY,READM-30-AMI-HRRP,486,,1.0286,16.2910,15.8374,81,07/01/2013,06/30/2016
SAINT JOSEPH HOSPITAL,180010,KY,READM-30-CABG-HRRP,240,,1.0806,14.8962,13.7852,38,07/01/2013,06/30/2016
SAINT JOSEPH HOSPITAL,180010,KY,READM-30-COPD-HRRP,280,,0.9990,20.7418,20.7633,58,07/01/2013,06/30/2016
SAINT JOSEPH HOSPITAL,180010,KY,READM-30-HF-HRRP,826,,0.9541,21.5384,22.5752,175,07/01/2013,06/30/2016
SAINT JOSEPH HOSPITAL,180010,KY,READM-30-HIP-KNEE-HRRP,224,,0.9923,4.9762,5.0149,11,07/01/2013,06/30/2016
SAINT JOSEPH HOSPITAL,180010,KY,READM-30-PN-HRRP,947,,0.9768,17.0382,17.4436,160,07/01/2013,06/30/2016
SAINT JOSEPH LONDON,180011,KY,READM-30-AMI-HRRP,225,,0.9624,16.6680,17.3198,35,07/01/2013,06/30/2016
SAINT JOSEPH LONDON,180011,KY,READM-30-CABG-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
SAINT JOSEPH LONDON,180011,KY,READM-30-COPD-HRRP,316,,0.9263,19.8268,21.4033,57,07/01/2013,06/30/2016
SAINT JOSEPH LONDON,180011,KY,READM-30-HF-HRRP,419,,1.0382,24.4917,23.5899,105,07/01/2013,06/30/2016
SAINT JOSEPH LONDON,180011,KY,READM-30-HIP-KNEE-HRRP,Not Available,,1.0551,4.9475,4.6893,Too Few to Report,07/01/2013,06/30/2016
SAINT JOSEPH LONDON,180011,KY,READM-30-PN-HRRP,402,,0.9473,17.1950,18.1518,66,07/01/2013,06/30/2016
HARDIN MEMORIAL HOSPITAL,180012,KY,READM-30-AMI-HRRP,223,,0.9143,13.7845,15.0774,25,07/01/2013,06/30/2016
HARDIN MEMORIAL HOSPITAL,180012,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HARDIN MEMORIAL HOSPITAL,180012,KY,READM-30-COPD-HRRP,858,,1.0399,19.6008,18.8494,171,07/01/2013,06/30/2016
HARDIN MEMORIAL HOSPITAL,180012,KY,READM-30-HF-HRRP,938,,0.9774,20.6175,21.0953,192,07/01/2013,06/30/2016
HARDIN MEMORIAL HOSPITAL,180012,KY,READM-30-HIP-KNEE-HRRP,474,,0.8167,3.7515,4.5936,14,07/01/2013,06/30/2016
HARDIN MEMORIAL HOSPITAL,180012,KY,READM-30-PN-HRRP,1189,,0.9814,16.5745,16.8891,196,07/01/2013,06/30/2016
THE MEDICAL CENTER AT BOWLING GREEN,180013,KY,READM-30-AMI-HRRP,770,,1.1974,19.0997,15.9516,159,07/01/2013,06/30/2016
THE MEDICAL CENTER AT BOWLING GREEN,180013,KY,READM-30-CABG-HRRP,254,,1.1651,14.4090,12.3674,41,07/01/2013,06/30/2016
THE MEDICAL CENTER AT BOWLING GREEN,180013,KY,READM-30-COPD-HRRP,850,,1.0653,21.3313,20.0241,186,07/01/2013,06/30/2016
THE MEDICAL CENTER AT BOWLING GREEN,180013,KY,READM-30-HF-HRRP,692,,1.0058,21.9141,21.7886,152,07/01/2013,06/30/2016
THE MEDICAL CENTER AT BOWLING GREEN,180013,KY,READM-30-HIP-KNEE-HRRP,208,,1.0586,5.2489,4.9584,12,07/01/2013,06/30/2016
THE MEDICAL CENTER AT BOWLING GREEN,180013,KY,READM-30-PN-HRRP,819,,1.0752,18.8969,17.5752,159,07/01/2013,06/30/2016
JEWISH HOSPITAL - SHELBYVILLE,180016,KY,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
JEWISH HOSPITAL - SHELBYVILLE,180016,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
JEWISH HOSPITAL - SHELBYVILLE,180016,KY,READM-30-COPD-HRRP,124,,0.9884,18.4150,18.6312,22,07/01/2013,06/30/2016
JEWISH HOSPITAL - SHELBYVILLE,180016,KY,READM-30-HF-HRRP,100,,1.0610,22.3412,21.0559,26,07/01/2013,06/30/2016
JEWISH HOSPITAL - SHELBYVILLE,180016,KY,READM-30-HIP-KNEE-HRRP,Not Available,,1.0980,4.8085,4.3792,Too Few to Report,07/01/2013,06/30/2016
JEWISH HOSPITAL - SHELBYVILLE,180016,KY,READM-30-PN-HRRP,174,,1.0209,16.5653,16.2259,30,07/01/2013,06/30/2016
T J SAMSON COMMUNITY HOSPITAL,180017,KY,READM-30-AMI-HRRP,215,,0.9299,14.7206,15.8299,27,07/01/2013,06/30/2016
T J SAMSON COMMUNITY HOSPITAL,180017,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
T J SAMSON COMMUNITY HOSPITAL,180017,KY,READM-30-COPD-HRRP,313,,1.0154,20.7254,20.4119,66,07/01/2013,06/30/2016
T J SAMSON COMMUNITY HOSPITAL,180017,KY,READM-30-HF-HRRP,356,,0.9470,20.5969,21.7503,70,07/01/2013,06/30/2016
T J SAMSON COMMUNITY HOSPITAL,180017,KY,READM-30-HIP-KNEE-HRRP,Not Available,,1.0589,5.2412,4.9495,Too Few to Report,07/01/2013,06/30/2016
T J SAMSON COMMUNITY HOSPITAL,180017,KY,READM-30-PN-HRRP,516,,0.9639,15.9081,16.5045,80,07/01/2013,06/30/2016
ST CLAIRE REGIONAL MEDICAL CENTER,180018,KY,READM-30-AMI-HRRP,124,,0.9547,19.5160,20.4422,21,07/01/2013,06/30/2016
ST CLAIRE REGIONAL MEDICAL CENTER,180018,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ST CLAIRE REGIONAL MEDICAL CENTER,180018,KY,READM-30-COPD-HRRP,222,,1.0389,23.4518,22.5732,55,07/01/2013,06/30/2016
ST CLAIRE REGIONAL MEDICAL CENTER,180018,KY,READM-30-HF-HRRP,284,,1.0184,24.9411,24.4898,72,07/01/2013,06/30/2016
ST CLAIRE REGIONAL MEDICAL CENTER,180018,KY,READM-30-HIP-KNEE-HRRP,Not Available,,1.0104,5.3006,5.2459,Too Few to Report,07/01/2013,06/30/2016
ST CLAIRE REGIONAL MEDICAL CENTER,180018,KY,READM-30-PN-HRRP,494,,0.9143,17.6625,19.3180,82,07/01/2013,06/30/2016
MEADOWVIEW REGIONAL MEDICAL CENTER,180019,KY,READM-30-AMI-HRRP,161,,0.9565,16.0819,16.8132,23,07/01/2013,06/30/2016
MEADOWVIEW REGIONAL MEDICAL CENTER,180019,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MEADOWVIEW REGIONAL MEDICAL CENTER,180019,KY,READM-30-COPD-HRRP,196,,0.9354,18.7935,20.0924,32,07/01/2013,06/30/2016
MEADOWVIEW REGIONAL MEDICAL CENTER,180019,KY,READM-30-HF-HRRP,169,,0.9588,21.6535,22.5847,34,07/01/2013,06/30/2016
MEADOWVIEW REGIONAL MEDICAL CENTER,180019,KY,READM-30-HIP-KNEE-HRRP,Not Available,,0.8421,4.7964,5.6959,Too Few to Report,07/01/2013,06/30/2016
MEADOWVIEW REGIONAL MEDICAL CENTER,180019,KY,READM-30-PN-HRRP,225,,1.0187,17.7468,17.4209,41,07/01/2013,06/30/2016
MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,180020,KY,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,180020,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,180020,KY,READM-30-COPD-HRRP,191,,1.0536,22.0249,20.9048,46,07/01/2013,06/30/2016
MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,180020,KY,READM-30-HF-HRRP,169,,1.1183,26.5227,23.7163,52,07/01/2013,06/30/2016
MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,180020,KY,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,180020,KY,READM-30-PN-HRRP,239,,0.9757,18.5893,19.0525,43,07/01/2013,06/30/2016
PINEVILLE COMMUNITY HOSPITAL,180021,KY,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
PINEVILLE COMMUNITY HOSPITAL,180021,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
PINEVILLE COMMUNITY HOSPITAL,180021,KY,READM-30-COPD-HRRP,217,,1.1341,22.3843,19.7372,58,07/01/2013,06/30/2016
PINEVILLE COMMUNITY HOSPITAL,180021,KY,READM-30-HF-HRRP,181,,1.0364,24.7112,23.8438,47,07/01/2013,06/30/2016
PINEVILLE COMMUNITY HOSPITAL,180021,KY,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
PINEVILLE COMMUNITY HOSPITAL,180021,KY,READM-30-PN-HRRP,234,,1.0346,19.6577,19.0012,48,07/01/2013,06/30/2016
SPRING VIEW HOSPITAL,180024,KY,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
SPRING VIEW HOSPITAL,180024,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
SPRING VIEW HOSPITAL,180024,KY,READM-30-COPD-HRRP,91,,1.0374,16.9833,16.3702,18,07/01/2013,06/30/2016
SPRING VIEW HOSPITAL,180024,KY,READM-30-HF-HRRP,86,,1.0434,20.2827,19.4382,20,07/01/2013,06/30/2016
SPRING VIEW HOSPITAL,180024,KY,READM-30-HIP-KNEE-HRRP,Not Available,,0.9941,4.6941,4.7221,Too Few to Report,07/01/2013,06/30/2016
SPRING VIEW HOSPITAL,180024,KY,READM-30-PN-HRRP,198,,0.9992,14.6678,14.6791,29,07/01/2013,06/30/2016
FLAGET MEMORIAL HOSPITAL,180025,KY,READM-30-AMI-HRRP,Not Available,,0.9821,20.0981,20.4637,Too Few to Report,07/01/2013,06/30/2016
FLAGET MEMORIAL HOSPITAL,180025,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
FLAGET MEMORIAL HOSPITAL,180025,KY,READM-30-COPD-HRRP,Not Available,,0.8967,16.9642,18.9174,Too Few to Report,07/01/2013,06/30/2016
FLAGET MEMORIAL HOSPITAL,180025,KY,READM-30-HF-HRRP,145,,0.9432,20.3846,21.6113,26,07/01/2013,06/30/2016
FLAGET MEMORIAL HOSPITAL,180025,KY,READM-30-HIP-KNEE-HRRP,Not Available,,0.9227,4.3931,4.7613,Too Few to Report,07/01/2013,06/30/2016
FLAGET MEMORIAL HOSPITAL,180025,KY,READM-30-PN-HRRP,276,,0.8349,14.9415,17.8953,31,07/01/2013,06/30/2016
MURRAY-CALLOWAY COUNTY HOSPITAL,180027,KY,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MURRAY-CALLOWAY COUNTY HOSPITAL,180027,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MURRAY-CALLOWAY COUNTY HOSPITAL,180027,KY,READM-30-COPD-HRRP,185,,1.0503,17.0665,16.2499,35,07/01/2013,06/30/2016
MURRAY-CALLOWAY COUNTY HOSPITAL,180027,KY,READM-30-HF-HRRP,147,,0.9743,17.3543,17.8118,24,07/01/2013,06/30/2016
MURRAY-CALLOWAY COUNTY HOSPITAL,180027,KY,READM-30-HIP-KNEE-HRRP,360,,1.0089,4.3984,4.3598,16,07/01/2013,06/30/2016
MURRAY-CALLOWAY COUNTY HOSPITAL,180027,KY,READM-30-PN-HRRP,391,,1.0618,15.2642,14.3762,63,07/01/2013,06/30/2016
HAZARD ARH REGIONAL MEDICAL CENTER,180029,KY,READM-30-AMI-HRRP,220,,1.0554,17.4714,16.5540,42,07/01/2013,06/30/2016
HAZARD ARH REGIONAL MEDICAL CENTER,180029,KY,READM-30-CABG-HRRP,Not Available,,1.0419,13.2342,12.7019,Too Few to Report,07/01/2013,06/30/2016
HAZARD ARH REGIONAL MEDICAL CENTER,180029,KY,READM-30-COPD-HRRP,837,,1.1505,26.5162,23.0477,233,07/01/2013,06/30/2016
HAZARD ARH REGIONAL MEDICAL CENTER,180029,KY,READM-30-HF-HRRP,445,,1.1001,26.7017,24.2727,125,07/01/2013,06/30/2016
HAZARD ARH REGIONAL MEDICAL CENTER,180029,KY,READM-30-HIP-KNEE-HRRP,Not Available,,1.1063,6.5768,5.9449,Too Few to Report,07/01/2013,06/30/2016
HAZARD ARH REGIONAL MEDICAL CENTER,180029,KY,READM-30-PN-HRRP,659,,1.2927,26.8466,20.7677,193,07/01/2013,06/30/2016
ST ELIZABETH MEDICAL CENTER NORTH,180035,KY,READM-30-AMI-HRRP,390,,0.9501,15.7248,16.5501,58,07/01/2013,06/30/2016
ST ELIZABETH MEDICAL CENTER NORTH,180035,KY,READM-30-CABG-HRRP,119,,1.0574,14.5977,13.8052,19,07/01/2013,06/30/2016
ST ELIZABETH MEDICAL CENTER NORTH,180035,KY,READM-30-COPD-HRRP,804,,1.1488,24.9115,21.6846,211,07/01/2013,06/30/2016
ST ELIZABETH MEDICAL CENTER NORTH,180035,KY,READM-30-HF-HRRP,1074,,0.9727,22.1337,22.7539,236,07/01/2013,06/30/2016
ST ELIZABETH MEDICAL CENTER NORTH,180035,KY,READM-30-HIP-KNEE-HRRP,820,,1.0489,5.2553,5.0104,44,07/01/2013,06/30/2016
ST ELIZABETH MEDICAL CENTER NORTH,180035,KY,READM-30-PN-HRRP,905,,1.1640,20.8860,17.9428,198,07/01/2013,06/30/2016
OUR LADY OF BELLEFONTE HOSPITAL,180036,KY,READM-30-AMI-HRRP,90,,1.0469,18.8302,17.9869,20,07/01/2013,06/30/2016
OUR LADY OF BELLEFONTE HOSPITAL,180036,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
OUR LADY OF BELLEFONTE HOSPITAL,180036,KY,READM-30-COPD-HRRP,251,,1.1144,21.1349,18.9653,61,07/01/2013,06/30/2016
OUR LADY OF BELLEFONTE HOSPITAL,180036,KY,READM-30-HF-HRRP,384,,1.1152,24.5128,21.9797,101,07/01/2013,06/30/2016
OUR LADY OF BELLEFONTE HOSPITAL,180036,KY,READM-30-HIP-KNEE-HRRP,366,,1.0375,5.0020,4.8210,19,07/01/2013,06/30/2016
OUR LADY OF BELLEFONTE HOSPITAL,180036,KY,READM-30-PN-HRRP,655,,1.0806,18.8528,17.4473,128,07/01/2013,06/30/2016
OWENSBORO HEALTH REGIONAL HOSPITAL,180038,KY,READM-30-AMI-HRRP,422,,0.9992,17.0747,17.0891,72,07/01/2013,06/30/2016
OWENSBORO HEALTH REGIONAL HOSPITAL,180038,KY,READM-30-CABG-HRRP,151,,0.9709,15.1457,15.5993,22,07/01/2013,06/30/2016
OWENSBORO HEALTH REGIONAL HOSPITAL,180038,KY,READM-30-COPD-HRRP,619,,0.9921,20.1266,20.2871,124,07/01/2013,06/30/2016
OWENSBORO HEALTH REGIONAL HOSPITAL,180038,KY,READM-30-HF-HRRP,828,,0.9298,20.5864,22.1416,166,07/01/2013,06/30/2016
OWENSBORO HEALTH REGIONAL HOSPITAL,180038,KY,READM-30-HIP-KNEE-HRRP,544,,0.9757,4.8647,4.9858,26,07/01/2013,06/30/2016
OWENSBORO HEALTH REGIONAL HOSPITAL,180038,KY,READM-30-PN-HRRP,982,,0.8630,15.5217,17.9847,144,07/01/2013,06/30/2016
JEWISH HOSPITAL & ST MARY'S HEALTHCARE,180040,KY,READM-30-AMI-HRRP,733,,1.0504,17.7018,16.8532,133,07/01/2013,06/30/2016
JEWISH HOSPITAL & ST MARY'S HEALTHCARE,180040,KY,READM-30-CABG-HRRP,243,,1.0561,14.1707,13.4186,36,07/01/2013,06/30/2016
JEWISH HOSPITAL & ST MARY'S HEALTHCARE,180040,KY,READM-30-COPD-HRRP,812,,1.1147,21.7967,19.5545,185,07/01/2013,06/30/2016
JEWISH HOSPITAL & ST MARY'S HEALTHCARE,180040,KY,READM-30-HF-HRRP,1244,,0.9987,22.5951,22.6256,281,07/01/2013,06/30/2016
JEWISH HOSPITAL & ST MARY'S HEALTHCARE,180040,KY,READM-30-HIP-KNEE-HRRP,754,,0.9261,4.5692,4.9337,33,07/01/2013,06/30/2016
JEWISH HOSPITAL & ST MARY'S HEALTHCARE,180040,KY,READM-30-PN-HRRP,1325,,1.0776,19.8186,18.3910,267,07/01/2013,06/30/2016
MEMORIAL HOSPITAL,180043,KY,READM-30-AMI-HRRP,Not Available,,1.0201,24.2922,23.8137,Too Few to Report,07/01/2013,06/30/2016
MEMORIAL HOSPITAL,180043,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MEMORIAL HOSPITAL,180043,KY,READM-30-COPD-HRRP,221,,1.0505,22.7468,21.6527,54,07/01/2013,06/30/2016
MEMORIAL HOSPITAL,180043,KY,READM-30-HF-HRRP,136,,1.1518,30.4929,26.4746,51,07/01/2013,06/30/2016
MEMORIAL HOSPITAL,180043,KY,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MEMORIAL HOSPITAL,180043,KY,READM-30-PN-HRRP,258,,0.9620,17.9310,18.6392,44,07/01/2013,06/30/2016
PIKEVILLE MEDICAL CENTER,180044,KY,READM-30-AMI-HRRP,335,,1.0790,17.3278,16.0596,63,07/01/2013,06/30/2016
PIKEVILLE MEDICAL CENTER,180044,KY,READM-30-CABG-HRRP,73,,1.3155,17.7659,13.5054,21,07/01/2013,06/30/2016
PIKEVILLE MEDICAL CENTER,180044,KY,READM-30-COPD-HRRP,527,,0.9658,19.6517,20.3477,101,07/01/2013,06/30/2016
PIKEVILLE MEDICAL CENTER,180044,KY,READM-30-HF-HRRP,572,,1.1141,26.4047,23.7013,158,07/01/2013,06/30/2016
PIKEVILLE MEDICAL CENTER,180044,KY,READM-30-HIP-KNEE-HRRP,413,,0.8978,4.1191,4.5879,15,07/01/2013,06/30/2016
ST ELIZABETH FLORENCE,180045,KY,READM-30-AMI-HRRP,Not Available,,1.0145,20.9061,20.6078,Too Few to Report,07/01/2013,06/30/2016
ST ELIZABETH FLORENCE,180045,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ST ELIZABETH FLORENCE,180045,KY,READM-30-COPD-HRRP,390,,1.0939,23.1231,21.1390,97,07/01/2013,06/30/2016
ST ELIZABETH FLORENCE,180045,KY,READM-30-HF-HRRP,386,,1.1227,26.0610,23.2126,108,07/01/2013,06/30/2016
ST ELIZABETH FLORENCE,180045,KY,READM-30-HIP-KNEE-HRRP,0,7,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ST ELIZABETH FLORENCE,180045,KY,READM-30-PN-HRRP,396,,1.1100,19.4109,17.4873,83,07/01/2013,06/30/2016
BOURBON COMMUNITY HOSPITAL,180046,KY,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
BOURBON COMMUNITY HOSPITAL,180046,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
BOURBON COMMUNITY HOSPITAL,180046,KY,READM-30-COPD-HRRP,76,,0.9907,19.3192,19.5011,14,07/01/2013,06/30/2016
BOURBON COMMUNITY HOSPITAL,180046,KY,READM-30-HF-HRRP,Not Available,,0.9723,21.2292,21.8341,Too Few to Report,07/01/2013,06/30/2016
BOURBON COMMUNITY HOSPITAL,180046,KY,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
BOURBON COMMUNITY HOSPITAL,180046,KY,READM-30-PN-HRRP,Not Available,,0.9413,14.7617,15.6817,Too Few to Report,07/01/2013,06/30/2016
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,180048,KY,READM-30-AMI-HRRP,196,,1.0812,15.7827,14.5976,36,07/01/2013,06/30/2016
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,180048,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,180048,KY,READM-30-COPD-HRRP,327,,1.0114,20.2327,20.0041,67,07/01/2013,06/30/2016
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,180048,KY,READM-30-HF-HRRP,448,,1.0522,22.0674,20.9718,102,07/01/2013,06/30/2016
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,180048,KY,READM-30-HIP-KNEE-HRRP,Not Available,,0.9203,3.7619,4.0877,Too Few to Report,07/01/2013,06/30/2016
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,180048,KY,READM-30-PN-HRRP,749,,1.0800,18.5002,17.1303,143,07/01/2013,06/30/2016
BAPTIST HEALTH RICHMOND,180049,KY,READM-30-AMI-HRRP,73,,0.9910,17.2521,17.4089,12,07/01/2013,06/30/2016
BAPTIST HEALTH RICHMOND,180049,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
BAPTIST HEALTH RICHMOND,180049,KY,READM-30-COPD-HRRP,208,,0.9281,18.9605,20.4297,34,07/01/2013,06/30/2016
BAPTIST HEALTH RICHMOND,180049,KY,READM-30-HF-HRRP,142,,1.0460,23.3707,22.3423,36,07/01/2013,06/30/2016
BAPTIST HEALTH RICHMOND,180049,KY,READM-30-HIP-KNEE-HRRP,Not Available,,0.9139,4.6836,5.1246,Too Few to Report,07/01/2013,06/30/2016
BAPTIST HEALTH RICHMOND,180049,KY,READM-30-PN-HRRP,315,,1.0930,18.9885,17.3730,65,07/01/2013,06/30/2016
HARLAN ARH HOSPITAL,180050,KY,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HARLAN ARH HOSPITAL,180050,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HARLAN ARH HOSPITAL,180050,KY,READM-30-COPD-HRRP,611,,1.3544,27.7395,20.4817,193,07/01/2013,06/30/2016
HARLAN ARH HOSPITAL,180050,KY,READM-30-HF-HRRP,250,,1.4113,31.2880,22.1698,101,07/01/2013,06/30/2016
HARLAN ARH HOSPITAL,180050,KY,READM-30-HIP-KNEE-HRRP,0,7,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HARLAN ARH HOSPITAL,180050,KY,READM-30-PN-HRRP,374,,1.2522,21.8303,17.4332,95,07/01/2013,06/30/2016
JENNIE STUART MEDICAL CENTER,180051,KY,READM-30-AMI-HRRP,Not Available,,1.0001,18.4945,18.4927,Too Few to Report,07/01/2013,06/30/2016
JENNIE STUART MEDICAL CENTER,180051,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
JENNIE STUART MEDICAL CENTER,180051,KY,READM-30-COPD-HRRP,402,,1.0938,20.5263,18.7663,89,07/01/2013,06/30/2016
JENNIE STUART MEDICAL CENTER,180051,KY,READM-30-HF-HRRP,122,,1.0594,21.6910,20.4750,30,07/01/2013,06/30/2016
JENNIE STUART MEDICAL CENTER,180051,KY,READM-30-HIP-KNEE-HRRP,Not Available,,0.9901,4.3776,4.4215,Too Few to Report,07/01/2013,06/30/2016
JENNIE STUART MEDICAL CENTER,180051,KY,READM-30-PN-HRRP,370,,1.1966,20.1489,16.8381,85,07/01/2013,06/30/2016
FLEMING COUNTY HOSPITAL,180053,KY,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
FLEMING COUNTY HOSPITAL,180053,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
FLEMING COUNTY HOSPITAL,180053,KY,READM-30-COPD-HRRP,103,,1.0021,19.2729,19.2333,20,07/01/2013,06/30/2016
FLEMING COUNTY HOSPITAL,180053,KY,READM-30-HF-HRRP,77,,1.0494,23.3581,22.2593,21,07/01/2013,06/30/2016
FLEMING COUNTY HOSPITAL,180053,KY,READM-30-HIP-KNEE-HRRP,Not Available,,0.9760,3.9159,4.0122,Too Few to Report,07/01/2013,06/30/2016
FLEMING COUNTY HOSPITAL,180053,KY,READM-30-PN-HRRP,213,,1.0971,18.1700,16.5619,44,07/01/2013,06/30/2016
METHODIST HOSPITAL,180056,KY,READM-30-AMI-HRRP,Not Available,,1.0120,16.8317,16.6318,Too Few to Report,07/01/2013,06/30/2016
METHODIST HOSPITAL,180056,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
METHODIST HOSPITAL,180056,KY,READM-30-COPD-HRRP,275,,1.0781,20.5501,19.0612,62,07/01/2013,06/30/2016
METHODIST HOSPITAL,180056,KY,READM-30-HF-HRRP,221,,1.0752,22.8571,21.2583,55,07/01/2013,06/30/2016
METHODIST HOSPITAL,180056,KY,READM-30-HIP-KNEE-HRRP,Not Available,,0.9440,3.8306,4.0577,Too Few to Report,07/01/2013,06/30/2016
METHODIST HOSPITAL,180056,KY,READM-30-PN-HRRP,344,,1.0857,18.1016,16.6733,67,07/01/2013,06/30/2016
SAINT JOSEPH MOUNT STERLING,180064,KY,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
SAINT JOSEPH MOUNT STERLING,180064,KY,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
SAINT JOSEPH MOUNT STERLING,180064,KY,READM-30-COPD-HRRP,139,,0.9737,17.9108,18.3954,23,07/01/2013,06/30/2016
SAINT JOSEPH MOUNT STERLING,180064,KY,READM-30-HF-HRRP,77,,0.9633,22.5140,23.3710,15,07/01/2013,06/30/2016
SAINT JOSEPH MOUNT STERLING,180064,KY,READM-30-HIP-KNEE-HRRP,Not Available,,0.9652,4.6448,4.8124,Too Few to Report,07/01/2013,06/30/2016
